"행정구역별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(1)",주지표,주지표,주지표,보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),주지표,주지표,주지표,보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),주지표,주지표,주지표,보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),주지표,주지표,주지표,보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),주지표,주지표,주지표,보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율)
"행정구역별(1)",청년인구비율(19~39세) (%),청년인구(19~39세) (명),전체인구 (명),청년인구비율(19~34세) (%),청년인구(19~34세) (명),전체인구 (명),청년여성비율(19~39세) (%),청년여성인구(19~39세) (명),전체인구 (명),청년인구비율(19~39세) (%),청년인구(19~39세) (명),전체인구 (명),청년인구비율(19~34세) (%),청년인구(19~34세) (명),전체인구 (명),청년여성비율(19~39세) (%),청년여성인구(19~39세) (명),전체인구 (명),청년인구비율(19~39세) (%),청년인구(19~39세) (명),전체인구 (명),청년인구비율(19~34세) (%),청년인구(19~34세) (명),전체인구 (명),청년여성비율(19~39세) (%),청년여성인구(19~39세) (명),전체인구 (명),청년인구비율(19~39세) (%),청년인구(19~39세) (명),전체인구 (명),청년인구비율(19~34세) (%),청년인구(19~34세) (명),전체인구 (명),청년여성비율(19~39세) (%),청년여성인구(19~39세) (명),전체인구 (명),청년인구비율(19~39세) (%),청년인구(19~39세) (명),전체인구 (명),청년인구비율(19~34세) (%),청년인구(19~34세) (명),전체인구 (명),청년여성비율(19~39세) (%),청년여성인구(19~39세) (명),전체인구 (명)
"전국",28.9,14969359,51779203,21.2,10969615,51779203,13.7,7076676,51779203,28.4,14716881,51829136,21.1,10911411,51829136,13.5,6981872,51829136,27.7,14343752,51738071,20.7,10721405,51738071,13.2,6809384,51738071,27.2,14039981,51692272,20.5,10602617,51692272,12.9,6644574,51692272,26.8,13875399,51774521,20.4,10541492,51774521,12.6,6534466,51774521
"서울특별시",32.4,3126914,9639541,24.4,2348076,9639541,16.5,1587991,9639541,32.2,3083919,9586195,24.4,2338802,9586195,16.4,1575508,9586195,31.7,3005539,9472127,24.3,2298838,9472127,16.3,1542502,9472127,31.4,2958184,9417469,24.3,2284941,9417469,16.2,1525281,9417469,31.2,2931861,9384512,24.3,2277364,9384512,16.2,1515891,9384512
"부산광역시",27.6,930199,3372692,20.4,687235,3372692,13.2,445483,3372692,26.9,901402,3349016,20.1,674340,3349016,13.0,433836,3349016,26.3,872794,3324335,19.9,660678,3324335,12.7,420612,3324335,25.6,842822,3295760,19.5,644077,3295760,12.3,405951,3295760,25.1,823314,3279604,19.3,633070,3279604,12.1,396016,3279604
"대구광역시",27.7,673072,2429940,20.6,500339,2429940,13.0,316346,2429940,27.2,656333,2410700,20.6,495545,2410700,12.8,309620,2410700,26.6,634839,2387911,20.3,484150,2387911,12.5,299038,2387911,25.9,613331,2366852,19.9,471627,2366852,12.2,288061,2366852,25.3,600884,2379188,19.5,463817,2379188,11.8,281268,2379188
"인천광역시",29.6,874356,2952237,21.5,634801,2952237,14.1,414991,2952237,29.0,853655,2945454,21.3,627912,2945454,13.8,406921,2945454,28.3,836456,2957044,21.0,619512,2957044,13.5,398462,2957044,27.8,830502,2989125,20.8,620464,2989125,13.2,394282,2989125,27.3,825978,3025950,20.4,617475,3025950,12.9,390794,3025950
"광주광역시",29.9,445955,1489730,22.3,332594,1489730,14.5,215469,1489730,29.3,432636,1477573,22.1,326416,1477573,14.1,208688,1477573,28.9,426014,1475262,22.1,325701,1475262,14.0,205970,1475262,28.3,416243,1468972,22.0,322852,1468972,13.7,200970,1468972,27.7,403570,1457090,21.7,315907,1457090,13.3,193907,1457090
"대전광역시",31.0,464279,1498839,23.6,354146,1498839,14.7,219963,1498839,30.6,455938,1488435,23.7,352475,1488435,14.5,216538,1488435,30.2,446971,1479740,23.6,349460,1479740,14.3,211412,1479740,29.8,439157,1473662,23.5,346859,1473662,14.1,207552,1473662,29.5,434126,1470336,23.4,344757,1470336,13.9,204500,1470336
"울산광역시",28.4,324254,1143692,20.2,230899,1143692,12.6,144057,1143692,27.5,311911,1135423,19.8,225336,1135423,12.2,138921,1135423,26.4,295996,1120753,19.3,215752,1120753,11.7,131357,1120753,25.4,282442,1110516,18.7,207836,1110516,11.2,124190,1110516,24.8,275141,1107432,18.4,203784,1107432,10.7,118629,1107432
"세종특별자치시",31.5,106572,338136,21.0,71121,338136,15.5,52399,338136,30.6,108234,353933,20.7,73235,353933,15.1,53335,353933,29.0,106025,366227,19.6,71714,366227,14.3,52523,366227,28.6,109279,382589,19.8,75881,382589,14.0,53609,382589,27.7,107056,386261,19.4,74887,386261,13.5,52207,386261
"경기도",29.8,3968194,13300900,21.4,2849858,13300900,14.0,1859116,13300900,29.5,3980816,13511676,21.4,2897077,13511676,13.9,1873562,13511676,28.8,3930798,13652529,21.1,2882747,13652529,13.5,1847428,13652529,28.1,3861336,13717827,20.8,2858808,13717827,13.2,1804110,13717827,27.7,3826070,13815367,20.6,2846793,13815367,12.9,1779061,13815367
"강원특별자치도",25.2,382702,1520127,18.9,287370,1520127,11.4,172607,1520127,24.5,372995,1521763,18.5,282157,1521763,11.0,167831,1521763,23.9,363704,1521890,18.2,277008,1521890,10.8,163645,1521890,23.6,360201,1528037,18.2,277788,1528037,10.6,161435,1528037,23.3,355979,1528014,18.1,276227,1528014,10.4,158994,1528014
"충청북도",28.1,458440,1629343,21.0,342512,1629343,12.6,204955,1629343,27.7,451989,1632088,20.9,340893,1632088,12.4,201633,1632088,26.8,434894,1624764,20.2,328056,1624764,12.0,194845,1624764,26.1,424576,1624993,19.9,322838,1624993,11.5,187608,1624993,26.3,431629,1641481,20.2,332053,1641481,11.5,188213,1641481
"충청남도",28.3,619382,2188649,20.7,451961,2188649,12.7,278433,2188649,27.3,593352,2176636,20.0,434881,2176636,12.2,266504,2176636,26.4,574978,2175960,19.5,423457,2175960,11.9,258571,2175960,26.0,570123,2193214,19.4,425256,2193214,11.6,254581,2193214,25.8,571791,2216332,19.4,429126,2216332,11.4,252280,2216332
"전북특별자치도",25.3,456412,1807423,18.9,342194,1807423,11.7,211697,1807423,24.8,447389,1802766,18.9,340108,1802766,11.5,207793,1802766,24.2,432940,1787053,18.6,331810,1787053,11.2,200263,1787053,23.7,420350,1774248,18.4,325638,1774248,10.9,193297,1774248,23.4,414154,1768491,18.3,323398,1768491,10.7,189451,1768491
"전라남도",22.9,409245,1787543,16.6,296698,1787543,10.2,181934,1787543,22.5,402366,1788807,16.5,295680,1788807,9.9,177410,1788807,21.8,387056,1778124,16.1,286069,1778124,9.6,170755,1778124,21.3,377463,1771431,16.0,283020,1771431,9.3,164697,1771431,21.3,377695,1776668,16.1,286311,1776668,9.1,162140,1776668
"경상북도",25.3,674272,2668154,18.5,494176,2668154,11.2,298132,2668154,24.3,643760,2644757,18.0,475505,2644757,10.7,284069,2644757,23.6,621957,2635314,17.6,463182,2635314,10.4,274578,2635314,22.9,600538,2620373,17.2,451810,2620373,10.0,262369,2620373,22.6,586044,2589880,17.2,444510,2589880,9.7,251508,2589880
"경상남도",26.1,874960,3347209,18.4,617555,3347209,11.6,388671,3347209,25.3,841777,3333056,18.1,602551,3333056,11.3,375353,3333056,24.2,799729,3305931,17.5,577524,3305931,10.8,355541,3305931,23.3,764083,3280829,17.0,558279,3280829,10.3,337085,3280829,22.8,744740,3271148,16.8,549140,3271148,9.9,322959,3271148
"제주특별자치도",27.1,180151,665048,19.3,128080,665048,12.7,84432,665048,26.6,178409,670858,19.2,128498,670858,12.6,84350,670858,25.7,173062,673107,18.7,125747,673107,12.2,81882,673107,25.0,169351,676375,18.4,124643,676375,11.8,79496,676375,24.4,165367,676767,18.2,122873,676767,11.3,76648,676767
